Splicing Factor	Gene	Aliases	GeneID	HomoloGene	Uniprot	Binding Domain(s)	MIM	Protein Interactors	Chemical Interactors	Expression	CLIP	
HuR	ELAVL1	ELAV (embryonic lethal abnormal vision Drosophila)-like 1 (Hu antigen R), Hua, MelG, ELAV1	1994	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=1994	Q15717	3 RRM (RNA recognition motif) domains		GABARAP, GABARAPL1, GABARAPL2, GJB3, H2AFX, MAP1LC3A, MAP1LC3B, NOS3, PPP2R2B, TOP1 (IntAct Database); CDC5L, EIF2C1, EIF2C2, HNRNPK, PTBP1, PTBP2, RBM9, RPS27A, SNW1, YWHAQ (MINT Database); ANP32A, ANP32B, CARM1, KPNA1, KPNB1, PAIP2, SET, SFRS12, TNPO1, TNPO2 (HPRD Database, Direct); ANP32A, ANP32B, DCP1A, DCP1B, DCP2, DDX17, DDX23, DDX5, DHX9, EFTUD2, FBL, H1FX, HIST1H1C, HNRNPA1, HNRNPA2B1, HNRNPA3, HNRNPC, HNRNPK, HNRNPL, HNRNPR, HNRNPU, MKI67, NAT10, NCL, NOLC1, NONO, NOP2, NPM1, PARP1, PIAS1, PRKDC, PRPF8, SF3B1, SF3B3, SFPQ, SFRS1, SNRNP200, SNRPA1, TCOF1, TIA1, TIAL1, TOP1, TOP2A, XPO1 (HPRD Database, Complex); GIGYF2, H2AFX, KIAA0101, POLR2J, RPAP1, RUVBL1, SREK1, SRRM2, SUMO1, TAF10, TOP1, UBC, XPO1 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=184492&LLNO=1994,http://www.proteinatlas.org/ENSG00000066044,http://www.hprd.org/summary?hprd_id=16025&isoform_id=16025_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=42465,42466,42467,42468,42469,42470,42471,42472,42473,42474,42475,42476,42477,42478,42479,42480,42481,42482,42483,42484,42485,42486,42487,42488,42489,42490,42491,42492,42493,42494,42495,42496,42497,42498,42499,42500,42501,42502,425,	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29779[PMID:21723170], http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29943[PMID:21723171],	
KSRP	KHSRP	KH-type splicing regulatory protein, FBP2, FUBP2, MGC99676.	8570	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=8570	Q92945	4 KH domains		ARF6, BCAR3, EXOSC2, GABARAP, GABARAPL1, GABARAPL2, GRB2, MAP1LC3A, PUF60, TRAF6 (IntAct Database); HNRNPA1, HNRNPH1 (STRING Database); AKT1 (DIP Database); GADD45A, GSK3B, STK3 (MINT Database); A1CF, BACE1, EXOSC2, EXOSC3, PARN (HPRD Database, Direct); EXOSC2, EXOSC3, FUBP1, HNRNPF, HNRNPH1, PARN, PTBP1 (HPRD Database, Complex); A1CF, APBB1, EXOSC2, GADD45A, GSK3B, HNRNPA1, HNRNPH1, KIAA0101, PARN, PSMA3, PTBP2, PUF60, STK3, SUMO1, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=723206&LLNO=8570,http://www.proteinatlas.org/ENSG00000088247,http://www.hprd.org/summary?hprd_id=10350&isoform_id=10350_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=60168,61091,71881,72804,78738,98453,98454,98455,101796,104713,120793,122244,124840&ptm_id=3560,3561,15553&loc_id=,		
MBNL1	MBNL1	muscleblind-like (Drosophila), EXP, MBNL, EXP35, EXP40, EXP42, KIAA0428, DKFZp686P06174.	4154	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=4154	Q9NR56	4 C3H1-type zinc fingers	Muscular dystrophy [MIM:606516]	ABI3BP, IDH3A, ZNHIT3 (IntAct Database); CUGBP1, HNRNPH1 (MINT Database); UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=478000&LLNO=4154,http://www.proteinatlas.org/ENSG00000152601,http://www.hprd.org/summary?hprd_id=07355&isoform_id=07355_3&isoform_name=Isoform_1,http://www.humanproteinpedia.org/Experimental_details?cellexp_id=TE-10574,TE-4101,		
Nova-1	NOVA1	neuro-oncological ventral antigen 1.	4857	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=4857	P51513	3 KH domains	Autoantigen in the paraneoplastic opsoclonus myoclonus ataxia (POMA) [MIM:602157]	PCBP1, SMARCC2 (IntAct Database); PCBP1, RPP14, SMARCC2 (MINT Database); PCBP1, SMARCC2 (HPRD Database, Direct); RPP14 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=31588&LLNO=4857,http://www.proteinatlas.org/ENSG00000139910,http://www.hprd.org/summary?hprd_id=03693&isoform_id=03693_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=26324,26325,26326,26327,26328,26329,26330,26331,26332,26333,26334,26335,26336,26337,26338,26339,26340,26341,26342,26343,26344,26345,26346,26347,26348,26349,26350,26351,26352,26353,26354,26355,26356,26357,26358,104851&ptm_id=&loc_id,		
Nova-2	NOVA2	neuro-oncological ventral antigen 2, ANOVA, NOVA3.	4858	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=4858	Q9UNW9	3 KH domains	Autoantigen in the paraneoplastic opsoclonus myoclonus ataxia (POMA) [MIM:601991]			http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=375439&LLNO=4858,http://www.proteinatlas.org/ENSG00000104967,http://www.hprd.org/summary?hprd_id=03588&isoform_id=03588_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=86644,104852&ptm_id=&loc_id=,		
nPTB	PTBP2	polypyrimidine tract binding protein 2, PTBLP, brPTB, nPTB5, nPTB6, nPTB7, nPTB8, FLJ34897.	58155	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=58155	Q9UKA9	4 RRM (RNA recognition motif) domains		CALCOCO2, EIF5A2, PCBP3, QKI, RBM10, TOM1 (IntAct Database); CALCOCO2, CDC5L, ELAVL1, HNRNPAB, HNRNPC, HNRNPD, KHDRBS1, KHDRBS3, MATR3, PUF60, QKI, RBM10, RBM4, SNRPA (MINT Database); CALCOCO2, PCBP3, PTBP2, QKI, RBM10 (HPRD Database, Direct); CALCOCO2, FUS, KHSRP, KIAA0101, RBM10, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=269895&LLNO=58155,http://www.proteinatlas.org/ENSG00000117569,http://www.hprd.org/summary?hprd_id=12233&isoform_id=12233_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/Experimental_details?cellexp_id=TE-15667,		
PSF	SFPQ	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated), POMP100.	6421	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=6421	P23246	2 RRM (RNA recognition motif) domains	Papillary renal cell carcinoma (PRCC) [MIM:605074]	ARRB2, BTK, EXOSC5, GABARAP, GABARAPL1, GABARAPL2, HN1, MAP1LC3A, MAP1LC3B, MAP3K14, MAPK13, NFKB2, NFKBIB, NFKBIE, NONO, PSPC1, PTBP1, RAC1, RELA, RELB, RNF43, SIN3A, SMN1, SNRPA, SNRNP70, TBK1, TOP1, TRAF1, TSC1, UBB (IntAct Database); NONO, PSPC1, PTBP1, SIN3A, TOP1 (STRING Database); CD2BP2, CDC5L, FUS, GAS7, HN1, MAP3K14, NFKB1, NFKB2, PTBP1, PTK6, SMAD5, SNW1, RELA, RELB, TBK1, TRAF1, WBP4, WWOX, ZMYM2 (MINT Database); EXOSC5, FHL2, FUS, HN1, NONO, PSPC1, PTBP1, SFRS12, SIN3A, SMAD5, SNRPA, TOP1, UBC, ZMYM2 (HPRD Database, Direct); CAPRIN1, CLP1, CPSF6, DDB1, DDX17, DDX23, DDX5, DHX9, EEF1A1, EEF1G, EFTUD2, ELAVL1, FBL, H1FX, HIST1H1C, HNRNPA1, HNRNPA2B1, HNRNPA3, HNRNPC, HNRNPK, HNRNPL, HNRNPR, HNRNPU, HSPA5, MATR3, MKI67, MRE11A, NAT10, NCL, NOLC1, NONO, NOP2, NPM1, NUDT21, PARP1, PCF11, PFKL, PIAS1, PRKDC, PRPF8, PTBP1, SF3B1, SF3B3, SFRS1, SFRS12, SNRNP200, SNRPA1, SNRPB, SNW1, TCOF1, TJP1, TOP1, TOP2A, TUBB, TUBB4, U2AF1, U2AF2, UBR5 (HPRD Database, Complex); APBB1, AR, CDC5L, EXOSC5, FHL2, GAS7, HDAC1, HDAC2, HDAC5, HN1, KIAA0101, MAPK1, NONO, NR3C1, NR4A2, PIN1, PITX3, POT1, PPP1CA, PRKCI, PRPF40A, PTBP1, RAC1, SIN3A, SMARCA2, SMARCD1, SMN1, SNRPA, SNW1, SP1, SP3, SREK1, SRRM1, SRRM2, STAT6, SUMO1, SUMO2, TADA2A, TCERG1, TOP1, TOPORS, U2AF2, UBC, WBP4, WWOX, ZMYM2 (BioGRID Database)	Ni (IntAct Database)	http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=355934&LLNO=6421,http://www.proteinatlas.org/ENSG00000116560,http://www.hprd.org/summary?hprd_id=07284&isoform_id=07284_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=1130,53962,54999,55429,55714,56747,65675,66712,67142,67427,68460,75105,75770,78728,85024,88193,100378,104597,122015,124659&ptm_id=9472,15806&loc_id=,		
RBM25	RBM25	RNA binding motif protein 25, S164, RNPC7, RED120, fSAP94, MGC105088, MGC117168.	58517	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=58517	P49756	1 RRM (RNA recognition motif) domain; 1 PWI domain		ESR2, PPP2R2B (IntAct Database); SF3A2 (STRING Database); PRPF31, RBM23, RBM39, SART1, SF3A2 (MINT Database); BRD4, HDAC5, JMJD6, KIAA0101, RBM39, RNPS1, SRRM1, SUMO2, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=531106&LLNO=58517,http://www.proteinatlas.org/ENSG00000119707,http://www.hprd.org/summary?hprd_id=15229&isoform_id=15229_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=101299&ptm_id=5549,5550,11447,11654,13980&loc_id=,		
RBM4	RBM4	RNA binding motif protein 4, LARK, RBM4A, ZCRB3A, ZCCHC21, MGC75138, DKFZp547K0918.	5936	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=5936	Q9BWF3	2 RRM (RNA recognition motif) domains; 1 CCHC-type zinc finger		AQR, CDC5L, CXorf56, DDX17, DDX5, DGCR14, DHX9, EIF2C2, HNRNPF, HNRNPH2, HNRNPH3, HNRNPK, HNRNPM, HNRNPUL1, PABPC1, PRPF31, PTBP2, RBM10, RBM22, RBM23, RBM42, RBM7, SF1, SF3B4, SMAD5, SNRPC, SNW1, U2AF2 (MINT Database); CCNA1, LRP2BP, SMAD5 (HPRD Database, Direct); CCNA1, CDK2, EIF2C2, KIAA0101, TRIB3, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=533712&LLNO=5936,http://www.proteinatlas.org/ENSG00000173933,http://www.hprd.org/summary?hprd_id=03982&isoform_id=03982_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=1377&ptm_id=6146,6147,6148&loc_id=,		
Sam68	KHDRBS1	KH domain containing RNA binding signal transduction associated 1, p62, FLJ34027.	10657	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=10657	Q07666	1 KH domain		ACTB, AZIN1, CBL, CBX6, CREB3L3, CREBBP, CRK, CRKL, EFEMP1, EIF2C1, EMG1, EP300, ESR1, ESR2, FYN, GPHN, GRB2, HCK, HNRNPK, JAK3, LCK, LYN, MAP1LC3A, PIK3R3, PLCG1, POT1, PTPN6, RASA1, RBMX, SCG5, SMARCA2, SRC, SSFA2, STAT3, STUB1, TBL1X, TNS3, TOB1, TUBB4A (IntAct Database); CRK, FNBP4, FYN, GRAP2, GRB2, HCK, INSR, ITK, LCK, LYN, NCK1, PIK3R1, PIK3R2, PLCG1, PRMT1, RASA1, SRC, WBP4 (STRING Database); SMARCA2 (DIP Database); CD2BP2, CDC5L, CIRBP, DDX5, DHX9, EMG1, FNBP4, FYN, GAS7, HCK, HNRNPA1, HNRNPK, KHDRBS1, KHDRBS3, LCK, LYN, PRMT1, PTBP2, RALY, RBM7, RBM9, SMAD2, SNRPN, SNW1, STUB1, TUBB3, U2AF2, VAV1, WBP4 (MINT Database); BTK, CBL, CDK1, CREBBP, DHX9, EMG1, FNBP4, FYN, GRAP, GRAP2, GRB2, HCK, HNRNPK, INSR, ITK, JAK3, KHDRBS3, LCK, LYN, MAPK1, NCF1, NCK1, PIK3R1, PLCG1, PLCG2, PRMT1, PTK6, PTPN6, RAPSN, RASA1, SMAD2, SMARCA2, SRC, STAT3, STUB1, TUBB3, UBA52, WBP4, YTHDC1 (HPRD Database, Direct); PIK3R1, RASA1 (HPRD Database, Complex); APBB1, BTK, CASP8, CREBBP, CRK, DHX9, EMG1, FADD, FNBP4, FYN, GAS7, GRAP2, GRB2, HNRNPK, INSR, IRS1, ITK, KHDRBS2, KIAA0101, LCK, NCF1, NCK1, PACSIN1, PACSIN2, PACSIN3, PIK3R1, PLCG1, PRMT1, PTK6, RAPSN, RASA1, RIPK1, SH3GL1, SMARCA2, SMARCAD1, SRC, SRRM1, STAT3, STUB1, SUMO1, TNFSF11, TUBB3, UBC, WBP4, YTHDC1 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=445893&LLNO=10657,http://www.proteinatlas.org/ENSG00000121774,http://www.hprd.org/summary?hprd_id=03926&isoform_id=03926_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=36133,36134,36135,36136,36137,36138,36139,36140,36141,36142,36143,36144,36145,36146,36147,36148,36149,36150,36151,36152,36153,36154,36155,36156,36157,36158,36159,36160,36161,36162,36163,36164,36165,36166,36167,36168,36169,36170,361,		
SAP155	SF3B1	splicing factor 3b, subunit 1, 155kDa, PRP10, PRPF10, SAP155, SF3b155, SF3B1.	23451	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=23451	O75533	11 HEAT repeats		ARF6, ARRB2, ATG12, BRF2, CFLAR, CSNK2A1, ESR1, GABARAP, GSK3B, HDAC3, IKBKE, MYC, PUF60, RNPS1, SMNDC1, SNRNP40, SNRPN, TOP1, YWHAG, YWHAZ (IntAct Database); CDC5L, DDB1, DDX42, PHF5A, PRPF6, SF3A2, SF3B2, SF3B3, SF3B4, SF3B5, SF3B14, TCERG1 (STRING Database); RBM17 (DIP Database); CDC5L, DBP, EIF2C1, EIF2C2, NUDT21, PLRG1, PPP1CA, RBM17, SF3A2, SF3B14, SF3B2, SF3B3, SMAD1, SMAD5, SMAD9, SMAP, SNIP1, SNW1, WBP4, WWOX (MINT Database); DYRK1A, MELK, PPP1R8, SF3B3, SF3B14, SMAD1, SMAD5, SMAD9, SNIP1, TCERG1 (HPRD Database, Direct); APBB1, ARID1A, C21orf77, CCT2, CCT4, CCT7, CHERP, DDX17, DDX23, DDX42, DDX5, DHX15, DHX9, DNAJC8, EFTUD2, ELAVL1, FBL, GAS7, H1FX, HIST1H1C, HNRNPA1, HNRNPA2B1, HNRNPA3, HNRNPC, HNRNPK, HNRNPL, HNRNPR, HNRNPU, HSPD1, ITCH, MKI67, NAT10, NCL, NOLC1, NONO, NOP2, NPM1, NRG1, PARP1, PDCD7, PHF5A, PIAS1, PRKDC, PRPF40A, PRPF8, RBM17, SF3A1, SF3A2, SF3A3, SF3B14, SF3B2, SF3B3, SF3B4, SF3B5, SFPQ, SFRS1, SMARCC1, SMARCC2, SMARCE1, SMNDC1, SNRNP200, SNRNP35, SNRPA1, SNRPB, SNRPB2, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF, SNRPG, TCERG1, TCOF1, TOP1, TOP2A, TRAP1, U2SURP, WBP4, ZRSR2 (HPRD Database, Complex); APBB1, ATG12, BAZ1B, BRF2, C11ORF58, CALM1, CCNE1, CDC5L, DDX42, GSK3B, H3F3A, HDAC3, HDAC5, KIAA0101, MYC, NUDT21, PHF5A, PPP1R8, PRPF40A, PUF60, RBM39, RNPS1, RNU11, RNU12-2P, SAP130, SF3A2, SF3B2, SF3B3, SF3B4, SF3B5, SF3B14, SMNDC1, SNRNP40, SUMO1, SUMO2, TCERG1, TOP1, TOPORS, UBC, WBP4, WWOX, YWHAZ (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=632554&LLNO=23451,http://www.proteinatlas.org/ENSG00000115524,http://www.hprd.org/summary?hprd_id=09281&isoform_id=09281_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=923,9180,56728,68441,88088,91914,101312,104266,121791,124673&ptm_id=9885,9886,9887,9888,9889,9890,9891,9892,9893,9894,9895,9896,9897,9898,9899,9900,9901,9902,9903,9904,9905,9906,9907,9908,9909,9910,9911,9912,9913,9914,21449&loc_id=,		
SC35	SFRS2	splicing factor arginine/serine-rich 2, SC-35, SFRS2A, SRp30b, PR264.	6427	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=6427	Q01130	1 RRM (RNA recognition motif) domain		AIRE, CDK6, CIR1, CSNK2A1, ESR1, ESR2, GABARAPL2, HDGF, MAP1LC3A, POLDIP3, RNPS1, UBQLN4 (IntAct Database); CIR1, SF3A2, SREK1, U2AF1 (STRING Database); HABP4, HDAC6, HNRNPM, KAT5, SF3A2, SFRS3, SFRS4, SNW1, SRPK1, SRPK2, TRA2B, U2AF1, UBQLN4 (MINT Database); ADAP1, CCNL1, CCNL2, CDK12, CIR1, FUS, NCF1, SFRS2IP, SFRS11, SFRS12, SIP1, SNRNP70, U2AF1, UBQLN4, YTHDC1, ZRANB2, ZRSR2 (HPRD Database, Direct); BCAS2, CDC5L, CWC15, GCN1L1, ILF2, PLRG1, PPM1D, PRKDC, PRPF19, RBMX, RBMXL2, RPL12, RPL13, RPS16, RPS25, SF3A1, SF3B2, SF3B4, SFI1, SFPQ, SFRS1, SNRPA, SNRPD1, SNRPD2, SNRPD3, SRRM1, TOP2A (HPRD Database, Complex); AIRE, CDC5L, DEK, KAT5, KIAA0101, PPARGC1A, RNPS1, SREK1, SRPK1, SRPK2, SRRM1, SRSF1, SRSF11, U2AF1, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=584801&LLNO=6427,http://www.proteinatlas.org/ENSG00000161547,http://www.hprd.org/summary?hprd_id=02888&isoform_id=02888_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=981,54960,55199,55386,55662,56287,61729,66673,66912,67099,67375,68000,73442,103034,104773&ptm_id=&loc_id=,		
SF1	SF1	splicing factor 1, ZFM1, ZNF162, D11S636.	7536	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=7536	Q15637	1 CCHC-type zinc finger; 1 KH domain		DDX17, ESR1, PLSCR1, RBPMS, TRIM23, U2AF2, WWP2 (IntAct Database); PRPF40A, SF3A2, TCERG1, U2AF2 (STRING Database); RBM17 (DIP Database); BCAS2, CD2BP2, DDX17, EFTUD2, HNRNPF, HNRNPH1, HNRNPH2, HNRNPK, HNRNPUL1, ILF3, MORG1, RBM10, RBM17, RBM4, RBM7, SF3A1, SF3A2, SF3B4, U2AF2, WDR77 (MINT Database); BCL2, DDX17, EWSR1, FUS, PLSCR1, PRKG1, PRPF40A, RBPMS, TAF15, TCERG1, TRIM23, U2AF2, WWP2 (HPRD Database, Direct); CPSF7, DAZAP1, EWSR1, ITCH, PABPC1, SMARCE1, SPG20, UBAP2, UBAP2L (HPRD Database, Complex); APBB1, DDX17, ESR1, EWSR1, FUS, GAS7, HDAC4, HDAC5, ITCH, NCOR2, NFKB1, PLSCR1, PML, PNRC2, PPARGC1A, PRPF40A, RBPMS, SRC, TAF15, TCERG1, TRIM23, U2AF2, UBC, WBP4, WWP2, ZNF461 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=502829&LLNO=7536,http://www.proteinatlas.org/ENSG00000168066,http://www.hprd.org/summary?hprd_id=03306&isoform_id=03306_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=1413,57695,69408,102148&ptm_id=8666,8667,8668,8669,11277,11278,13992,13993,13994,13995,14434,14435,14436,14437,14438,14439,14861,14862,14863,14864,14865,14866,15131,15132,15133,15134,15135,15136,15279,15280,15281,15381,15382,15383,,	http://nar.oxfordjournals.org/content/39/5/1868/suppl/DC1[PMID:21062807],	
SF2/ASF	SFRS1	splicing factor arginine/serine-rich 1 (splicing factor 2, alternate splicing factor), ASF, SF2, SF2p33, SRp30a, MGC5228.	6426	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=6426	Q07955	2 RRM (RNA recognition motif) domains		BCL10, CDK6, CIR1, DIDO1, ESR1, GABARAP, GABARAPL1, GABARAPL2, HDGF, LNX1, LUC7L3, MAP1LC3A, MAP1LC3B, NFYA, NXF1, RNPS1, RP9, SRPK1, TOP1, U2AF1, U2AF2, YWHAG, YWHAQ (IntAct Database); ADRM1, CLK1, PSMD7, SF3A2, SNRNP70, SRPK1, SRPK2, TOP1, U2AF1, UCHL5, USP14 (STRING Database); U2AF2 (DIP Database); CDC5L, HNRNPA0, LNX1, NPM1, RNPS1, SF3A2, SFRS13A, SFRS4, SNW1, U2AF2 (MINT Database); C1QBP, C20orf158, CD8A, CDK12, CLK1, LNX1, LUC7L3, NFYA, NXF1, PRPF4, PRPF4B, PSIP1, SFRS11, SFRS12, SFRS17A, SFRS2IP, SIP1, SNRNP70, SRPK1, SRPK2, TCERG1, TNPO3, TOP1, U2AF1, U2AF2, YTHDC1, ZRSR2 (HPRD Database, Direct); BCAS2, C21orf77, CDC5L, CHERP, CWC15, DDX17, DDX23, DDX5, DHX15, DHX9, DNAJC8, EFTUD2, ELAVL1, FBL, GCN1L1, H1FX, HIST1H1C, HNRNPA1, HNRNPA2B1, HNRNPA3, HNRNPC, HNRNPK, HNRNPL, HNRNPR, HNRNPU, HSPD1, ILF2, MKI67, NAT10, NCL, NOLC1, NONO, NOP2, NPM1, NRG1, PARP1, PHF5A, PIAS1, PLRG1, PPM1D, PRKDC, PRPF19, PRPF8, RBM17, RBMX, RBMXL2, RPL12, RPL13, RPS16, RPS25, SF3A1, SF3A2, SF3B1, SF3B14, SF3B2, SF3B3, SF3B4, SF3B5, SFI1, SFPQ, SFRS2, SMNDC1, SNRNP200, SNRPA, SNRPA1, SNRPB, SNRPB2, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPG, SRRM1, TCOF1, TOP1, TOP2A, TRAP1, U2SURP (HPRD Database, Complex); AIRE, C1QBP, CACNA1A, CDC5L, CLK1, DIDO1, DYRK1A, HDAC5, KIAA0101, LNX1, LUC7L3, PRPF4, PSIP1, RBM39, RNPS1, RRP1B, SCAF11, SF3A2, SMARCAD1, SNRNP70, SREK1, SRPK1, SRPK2, SRSF2, SRSF5, SRSF11, TADA2A, TCERG1, TOP1, U2AF1, U2AF2, UBC, XBP1, YWHAQ (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=68714&LLNO=6426,http://www.proteinatlas.org/ENSG00000136450,http://www.hprd.org/summary?hprd_id=02887&isoform_id=02887_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=1503,51277,53788,55003,55435,55720,56394,56651,56827,61910,65501,66716,67148,67433,68107,68364,68540,73623,100511,104140,122961&ptm_id=9956,9957,9958,9959,9960,9961,9962,9963,9964,14516,14517,14518,21624,21625,21626,21627,21628,216,	http://fairbrother.biomed.brown.edu/data/ASF/Figure2/ASFData.bed[PMID:20015017], http://www.plosone.org/article/fetchSingleRepresentation.action?uri=info:doi/10.1371/journal.pone.0003369.s001[PMID:18841201],	
SLM-1	KHDRBS2	KH domain containing RNA binding signal transduction associated 2, SLM1, FLJ38664, MGC26664, bA535F17.1.	202559	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=202559	Q5VWX1	1 KH domain		CBX4, EWSR1, HNRNPK, KHDRBS3, RBMX (IntAct Database); HNRNPK, PRMT1, RBMX (STRING Database); EWSR1, HNRNPK, KHDRBS3, RBMX (MINT Database); EWSR1, GRB2, HNRNPK, KHDRBS3, PRMT1, RBMX, YTHDC1 (HPRD Database, Direct); ARID2, DDX5, DDX17, DEK, DSG1, EHBP1, EWSR1, FBXW11, FGA, FGB, FGG, HNRNPA0, HNRNPA1, HNRNPA2B1, HNRNPC, HNRNPD, HNRNPH1, HNRNPH3, HNRNPK, HNRNPK, HNRNPL, HNRNPR, HNRNPUL2, HNRPDL, HRNR, HSP90AB1, IGF2BP1, IGF2BP3, ILF2, ILF3, KHDRBS1, KHDRBS3, LRRC15, MOV10, MRPS27, NUSAP1, PRMT1, PRMT5, RBM39, RBMX, RPAP2, RPS3, SAFB, SYNCRIP, TAF3, TARDBP, UBC, WDR77, YBX1 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=519794&LLNO=202559,http://www.proteinatlas.org/ENSG00000112232,http://www.hprd.org/summary?hprd_id=13775&isoform_id=13775_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/Experimental_details?cellexp_id=TE-15108,		
