#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|dPSI|>=0.20) per LSV junction	P(|dPSI|<=0.05) per LSV junction	CONTROL E(PSI)	BORIS E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions	chr	strand	Junctions coords	Exons coords	IR coords	UCSC LSV Link
KIAA0040	ENSG00000235750.10	ENSG00000235750.10:s:175192640-175192776	-0.23355552115233172;0.23355551756772952	0.6863773370125331;0.6863775348902303	1.554341551768257e-05;1.5542608519854777e-05	0.958;0.042	0.705;0.295	s|1e1.1o1|1e2.2o2	False	False	True	2	3	1;1	chr1	-	175177684-175192640;175166737-175192640	175166562-175166741;175177611-175177684;175192640-175192776		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A175192776-175166562
AC008537.1	ENSG00000268797.1	ENSG00000268797.1:t:40825120-40825258	-0.13337843237483754;-0.008064393653231966;-0.02614255003560716;0.22958126354744904	0.22945572839560596;0.003293876610450354;0.00046679085691567245;0.7126970003643094	4.329479023545968e-05;0.0006153461657326664;0.0009106136381610286;1.1268872709172562e-08	0.460;0.445;0.093;0.004	0.274;0.423;0.043;0.260	t|1e1.1o1|1e2.1o1|1e3.1o1|i	False	False	True	4	4	0;0;0;0	chr19	+	40820323-40825120;40821625-40825120;40822399-40825120;40822400-40825119	nan-40820323;40821484-40821625;40822212-40822399;40825120-40825258	40822400-40825119	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A40825258-40820313
DENND1B	ENSG00000213047.13	ENSG00000213047.13:t:197645690-197645743	-0.2203955718489482;0.2203955802274073	0.5962285181936541;0.5962285983584165	7.176176126655331e-05;7.175788500044921e-05	0.818;0.182	0.557;0.443	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr1	-	197645743-197652235;197645743-197647055	197645690-197645743;197647055-197647114;197652235-197652315		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A197652315-197645690
CEP131	ENSG00000141577.14	ENSG00000141577.14:s:81198106-81198297	0.215164738616068;-0.2151647513056646	0.5605245694562149;0.5605244606838791	0.00011429585628030766;0.0001143019860387895	0.332;0.668	0.600;0.400	s|1e1.1o1|2e1.1o1	True	False	False	2	2	1;1	chr17	-	81197888-81198115;81197888-81198106	81197712-81197888;81198106-81198297		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A81198297-81197712
BRCA1	ENSG00000012048.23	ENSG00000012048.23:s:43138657-43138922	-0.24095895868692271;0.24095890765407463	0.7325554379106141;0.7325553995421055	3.418956314726884e-07;3.418788348764598e-07	0.989;0.011	0.725;0.275	s|1e1.1o1|i	False	False	False	2	2	0;0	chr17	-	43133137-43138657;43133138-43138656	43132956-43133137;43138657-43138922	43133138-43138656	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A43138922-43132956
DCLRE1C	ENSG00000152457.18	ENSG00000152457.18:t:14945105-14945189	-0.004352115615218398;-0.44625853701762735;0.2184278318226191;0.15466382862937408	6.877449197921033e-05;0.9656165254817496;0.5862379804704684;0.347429121203107	0.0037549899779365514;4.20476542060122e-05;5.274252471017027e-05;0.00018884120584486495	0.036;0.805;0.036;0.124	0.006;0.346;0.296;0.350	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	False	False	True	4	5	1;1;1;1	chr10	-	14945189-14953902;14945189-14949036;14945189-14947525;14945189-14945435	14945105-14945189;14945435-14945565;14947525-14947609;14949036-14949087;14953902-14954432		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A14954432-14945105
BICRAL	ENSG00000112624.12	ENSG00000112624.12:s:42782027-42782101	0.39178159811765134;-0.39178157646523504	0.9617585659558021;0.9617586024310791	1.3357532159763761e-05;1.3358129591134471e-05	0.106;0.894	0.511;0.489	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1;0	chr6	+	42782101-42810306;42782101-42822018	42782027-42782101;42810306-42810401;42822018-42822063		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A42822063-42782027
BICRAL	ENSG00000112624.12	ENSG00000112624.12:t:42822018-42822063	-0.2066173303926162;0.20311065175790113;0.00022350865854916879	0.5245262008825424;0.5126370697799;1.7674563457248883e-07	0.0001326540679031929;0.00013577313826823503;0.013333103622808477	0.720;0.275;0.004	0.453;0.539;0.007	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0;1;1	chr6	+	42782101-42822018;42810401-42822018;42821213-42822018	42782027-42782101;42810306-42810401;42821056-42821213;42822018-42822063		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A42822063-42782027
HBG2	ENSG00000196565.15	ENSG00000196565.15:s:5284875-5285157	-0.5992013354059884;0.5992007538422026	0.9906296238490778;0.9906296355477504	1.1389222399516008e-05;1.1388856655475052e-05	0.964;0.036	0.399;0.601	s|1e1.1o1|i	False	False	False	2	2	0;0	chr11	-	5270156-5284875;5281952-5284874	nan-5270156;5284875-5285157	5281952-5284874	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A5285157-5270146
AC006001.2	ENSG00000226824.7	ENSG00000226824.7:t:66669743-66671523	0.29091097745354133;-0.29091099718314234	0.7575837616541986;0.7575837871885838	9.351953453301011e-05;9.35240577945029e-05	0.063;0.937	0.412;0.588	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr7	+	66668913-66669743;66669381-66669743	66668764-66668913;66669354-66669381;66669743-66671523		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A66671523-66668764
PPIP5K1	ENSG00000168781.22	ENSG00000168781.22:s:43573357-43573484	-0.3171885673145567;-0.0011058173399849133;0.32275770633756956;-9.121292393263779e-05	0.8572807144512479;7.997624037635238e-06;0.8602732920892936;1.5510054041424067e-07	3.790723677821184e-05;0.007409507949962646;4.245202453175161e-05;0.013624661748392053	0.480;0.029;0.486;0.006	0.132;0.023;0.841;0.005	s|1e1.3o3|2e1.2o3|2e1.3o3|2e2.1o1	True	True	True	4	3	1;1;1;1	chr15	-	43573148-43573381;43573160-43573357;43573148-43573357;43573088-43573357	43573034-43573088;43573113-43573182;43573357-43573484		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A43573484-43573034
B3GALT1-AS1	ENSG00000235335.3	ENSG00000235335.3:s:167818949-167819064	-0.8370207439878974;0.8368891854679078	0.9999989342983555;0.9999989523330016	7.408468588598893e-07;5.291455330678303e-07	0.967;0.033	0.135;0.865	s|1e1.1o1|i	False	False	False	2	2	0;0	chr2	-	167815231-167818949;167816675-167818948	167814757-167815231;167818949-167819064	167816675-167818948	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A167819064-167814757
ADPGK	ENSG00000159322.17	ENSG00000159322.17:t:72774872-72775114	7.244791769413854e-05;-0.2709727120301214;0.27344572129599737	1.941885366402983e-05;0.7224257789638716;0.7382714941403296	0.004646534239462263;7.787903858669232e-05;6.448701675404326e-05	0.011;0.943;0.045	0.012;0.619;0.369	t|1e1.1o1|1e2.1o3|1e2.3o3	True	False	True	3	3	1;1;1	chr15	-	72775097-72785649;72775097-72783459;72775097-72783246	72774872-72775114;72783246-72783785;72785649-72785846		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A72785846-72774872
ADPGK	ENSG00000159322.17	ENSG00000159322.17:s:72783246-72783785	-0.22522339534860125;4.2639146295915004e-06;4.2639146295915004e-06;0.22513027183145118;0.09480845364894225;-0.06143533659235997	0.5710591092265925;2.0966172251969916e-06;2.0966172251969916e-06;0.601019462517638;0.06591124899602673;0.021200171701959952	0.0001528368111487488;0.006701254815635493;0.006701254815635493;5.911963693233153e-05;0.00032012050807614606;0.0005919287800913997	0.825;0.005;0.005;0.035;0.005;0.125	0.520;0.005;0.005;0.308;0.157;0.005	s|1e1.2o2|1e2.1o1|2e2.1o1|3e3.2o2|3e4.1o1|3e5.1o1	True	False	True	6	6	1;1;1;1;1;1	chr15	-	72775097-72783459;72760527-72783459;72760527-72783302;72775097-72783246;72771845-72783246;72760527-72783246	72760223-72760527;72771783-72771845;72774872-72775114;72783246-72783785		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A72783785-72760223
PIDD1	ENSG00000177595.18	ENSG00000177595.18:s:803174-803647	0.016867218495699155;0.10025425355717256;-0.23824550393123864;0.030031139609112443	0.0005797998964141755;0.1447088232295314;0.6884759960422648;0.005215778767232295	0.001451218214390107;0.0002697924022474806;1.993191109805892e-05;0.0008187542961868993	0.111;0.374;0.357;0.160	0.148;0.534;0.095;0.223	s|1e1.2o6|1e1.3o6|1e1.4o6|1e1.6o6	False	True	False	4	2	0;1;0;0	chr11	-	803085-803174;802891-803174;802854-803174;802727-803174	802682-803149;803174-803647		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A803647-802682
EFNA3	ENSG00000143590.14	ENSG00000143590.14:t:155085877-155085942	-0.282523501317345;0.2825234994672318	0.7707309852949065;0.7707310055060934	8.579728590552005e-05;8.579313946269294e-05	0.932;0.068	0.604;0.396	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr1	+	155085404-155085877;155085642-155085877	155085091-155085404;155085516-155085642;155085877-155085942		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A155085942-155085091
CAPRIN2	ENSG00000110888.17	ENSG00000110888.17:s:30734955-30735147	-0.19616776445006667;0.21109514246464772;-0.0005893980950088718	0.46646571499358347;0.5687642981696253;8.472623669066391e-09	1.1316473183198283e-05;8.523057506861086e-06;0.03267186551293799	0.240;0.742;0.017	0.024;0.972;0.003	s|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1;1;1	chr12	-	30733711-30734968;30731510-30734968;30730282-30734968	30730239-30730282;30731470-30731510;30733629-30733711;30734955-30735147		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A30735147-30730239
ALG1L9P	ENSG00000248671.8	ENSG00000248671.8:s:71742483-71742772	-0.0878275710540237;-0.08147356243381193;0.23078416547918398	0.06053743370046809;0.08182945753796506;0.6229348838291472	0.00010817463578005615;0.00011201508473213106;1.006879450490223e-05	0.223;0.354;0.424	0.089;0.211;0.699	s|1e1.1o1|1e2.1o2|i	False	False	True	3	3	0;0;0	chr11	-	71741378-71742483;71740008-71742483;71740009-71742482	nan-71741378;71739844-71740008;71742483-71742772	71740009-71742482	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A71742772-71739844
HOXB7	ENSG00000260027.5	ENSG00000260027.5:s:48617445-48617523	0.4299019815748447;0.007049709246326373;-0.43237611389533903	0.9868823840251477;0.00037904636093966673;0.9976787140391902	6.133375202212841e-07;0.0012502295083653137;1.8433200521528192e-09	0.463;0.086;0.453	0.892;0.102;0.005	s|1e1.1o1|1e2.1o1|i	False	False	True	3	3	0;0;0	chr17	-	48615255-48617445;48614752-48617445;48611018-48617444	nan-48614752;nan-48615255;48617445-48617523	48611018-48617444	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A48617523-48614742
ZNF529	ENSG00000186020.13	ENSG00000186020.13:s:36554670-36554796	0.21204068976388898;-0.21204064217361962	0.5619665667267246;0.5619663356472868	7.919548474883466e-05;7.919985014948061e-05	0.465;0.535	0.715;0.285	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr19	-	36551977-36554670;36548322-36554670	36548101-36548322;36551877-36551977;36554670-36554796		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A36554796-36548101
AL589666.1	ENSG00000271793.1	ENSG00000271793.1:s:85614981-85615234	0.2658846309004145;-0.26588465336076683	0.8312993137111045;0.831299294122848	1.03091451075278e-07;1.0310508335997781e-07	0.696;0.304	0.993;0.007	s|1e1.1o1|i	False	False	False	2	2	1;0	chr6	-	85612920-85614981;85612921-85614980	85612832-85612920;85614981-85615234	85612921-85614980	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A85615234-85612832
PRIMPOL	ENSG00000164306.11	ENSG00000164306.11:t:184685409-184685498	-0.013819979866638705;0.2165492835338488;-0.00020001743613288882;-0.1442327132273124;-0.010699393938478234	0.0004271204022316519;0.546456691904941;6.639806718457276e-07;0.23907350361667118;0.004338664915756945	0.001294946556961274;2.2255890719841956e-05;0.005632899389347967;3.4212630553254186e-05;0.0006155660596952606	0.062;0.539;0.006;0.231;0.161	0.003;0.825;0.003;0.038;0.131	t|1e1.2o2|1e2.1o1|2e3.2o2|2e4.1o1|i	False	True	True	5	5	1;1;1;1;0	chr4	+	184678394-184685409;184682336-184685409;184672460-184685412;184682336-184685412;184682337-184685408	184672173-184672460;184678232-184678394;184682248-184682336;184685409-184685498	184682337-184685408	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A184685498-184672173
ZNF808	ENSG00000198482.14	ENSG00000198482.14:s:52527652-52527909	-0.26648348754701945;0.260357768014225;0.0005498251788245692	0.6680313116029624;0.6530628217877757;1.1036946036649359e-05	0.00014178604607928413;0.00014524572690177272;0.005402370253441674	0.706;0.286;0.008	0.370;0.618;0.012	s|1e1.1o1|1e2.1o1|2e3.1o1	True	False	True	3	4	1;1;1	chr19	+	52527711-52532908;52527711-52543266;52527909-52532908	52527652-52527909;52532908-52533009;52543266-52543347		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A52543347-52527652
SDHAP3	ENSG00000185986.12	ENSG00000185986.12:t:1567495-1568998	0.20449972279932882;-0.34971339016952424;0.055010971430146355	0.5153949324032607;0.863843700383753;0.07733629918763994	1.0264703360334678e-05;8.357716244855595e-06;0.00016883919897246746	0.037;0.561;0.401	0.279;0.181;0.533	t|1e1.1o2|1e2.2o2|i	False	False	True	3	3	0;1;0	chr5	-	1568998-1574182;1568998-1572182;1568999-1572181	1567495-1568998;1572182-1572286;1574172-1574295	1568999-1572181	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A1574295-1567495
SLC25A21	ENSG00000183032.12	ENSG00000183032.12:t:36852175-36852282	0.3203146650321881;-0.3203146063816044	0.8503416734249684;0.8503416655316117	4.642990364272202e-05;4.6432158685716374e-05	0.025;0.975	0.392;0.608	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0;0	chr14	-	36852282-36859065;36852282-36858188	36852175-36852282;36858188-nan;36859065-nan		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A36859075-36852175
TMEM175	ENSG00000127419.17	ENSG00000127419.17:s:932387-932540	0.010384921845209312;0.21051234443101302;-6.136360729336326e-05;-0.2524181927234438;6.125410381481069e-05	9.954637673819286e-05;0.549064190514318;5.125781699527788e-09;0.7108733795590584;5.113502811531914e-09	0.00221204209648046;9.50410349727463e-05;0.02460658393716264;4.677101017913632e-05;0.04853011239445615	0.074;0.415;0.004;0.502;0.004	0.098;0.671;0.002;0.218;0.012	s|1e1.1o1|1e2.1o1|1e3.2o2|1e4.1o3|1e4.2o3	False	True	True	5	5	1;1;1;1;1	chr4	+	932540-945999;932540-947709;932540-948116;932540-950421;932540-950424	932387-932540;945999-946126;947709-947978;948024-948154;950421-950518		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A950518-932387
DCAF1	ENSG00000145041.15	ENSG00000145041.15:t:51483719-51483838	-0.2080961150275849;0.05181087414850759;0.10868812280232819	0.533515722198613;0.035873584567107444;0.15848960335186002	0.0001268444292598092;0.0005112174136135302;0.00023769888711725091	0.790;0.114;0.095	0.516;0.221;0.261	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1;0;0	chr3	-	51483836-51499873;51483836-51496734;51483836-51492389	51483719-51483838;51492389-51492513;51496734-51496780;51499873-51500002		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A51500002-51483719
CLTCL1	ENSG00000070371.16	ENSG00000070371.16:t:19201329-19201493	0.004307290486671009;-0.2958304175769062;-1.9435822916001014e-05;0.05795598507867942;0.15070670160258132;0.01578007198348632	8.767720471740394e-07;0.8437830793599744;8.233413197742886e-11;0.016263662038262766;0.1618110351814309;3.6999566350221274e-05	0.008030988963774133;2.793848120741238e-06;0.032128220814193975;0.00021452992334761428;8.708028827561164e-06;0.002173747102331078	0.032;0.817;0.002;0.093;0.017;0.037	0.046;0.501;0.002;0.189;0.192;0.068	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|i	False	False	True	6	6	1;1;1;0;0;0	chr22	-	19201493-19208922;19201493-19208154;19201493-19207518;19201493-19202256;19201493-19202150;19201494-19207517	19201329-19201493;19202150-nan;19202256-nan;19207518-19207676;19208154-19208311;19208922-19209327	19201494-19207517	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A19209327-19201329
ENTPD3-AS1	ENSG00000223797.6	ENSG00000223797.6:t:40399474-40399628	-0.00029079920305140713;0.2624760518173906;-0.26340910547878904	0.00022604805460462327;0.6607703721140606;0.6709802795821502	0.002611396634815688;0.00010031235065485582;6.873935282925014e-05	0.019;0.629;0.352	0.017;0.967;0.017	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1;1;0	chr3	-	40399628-40453122;40399628-40451705;40399628-40417706	40399474-40399628;40417706-nan;40451705-40451782;40453122-40453329		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A40453329-40399474
UROS	ENSG00000188690.15	ENSG00000188690.15:t:125789283-125789528	-0.03093517972230809;0.08659416585085439;-0.23750424364307499;0.13786306761441786	0.010616190417924326;0.04115659247021177;0.6387853317871174;0.2936137950920918	0.0003842911721533282;0.00011832543426238285;8.98487222245059e-06;5.729805002811523e-05	0.171;0.029;0.360;0.439	0.099;0.160;0.080;0.664	t|1e1.3o3|2e1.3o3|3e1.3o3|i	False	True	False	4	2	1;0;1;0	chr10	-	125789528-125794880;125789438-125794880;125789363-125794880;125789529-125791519	125789283-125789528;125794880-125794978	125789529-125791519	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A125794978-125789283
ZFP69B	ENSG00000187801.15	ENSG00000187801.15:s:40456945-40457071	0.22604513542400945;-0.22604513394456546	0.6704520512433564;0.670451916134034	1.5369922393935417e-05;1.5370707040052167e-05	0.033;0.967	0.281;0.719	s|1e1.1o2|1e1.2o2	False	True	False	2	2	0;1	chr1	+	40457071-40457341;40457071-40457344	40456945-40457071;40457341-40457439		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A40457439-40456945
ENO3	ENSG00000108515.18	ENSG00000108515.18:t:4951721-4951914	-0.0020178480268723802;-5.138845112746712e-05;-5.138845112746712e-05;-0.00128508994477027;-0.25322597283269344;0.13319660340690148;-5.138845112746712e-05;0.11730068608166391	3.910486675629909e-06;3.6938474827450255e-08;3.6938474827450255e-08;3.895770634449457e-06;0.7025924663745896;0.22628366014990545;3.6938474827450255e-08;0.08664008666306651	0.00731508693226246;0.015919735249018352;0.015919735249018352;0.008828171992444456;6.883048386208124e-05;0.0001647424219028324;0.015919735249018352;0.00013573947661961694	0.025;0.003;0.003;0.025;0.828;0.090;0.003;0.025	0.002;0.002;0.002;0.017;0.530;0.273;0.002;0.174	t|1e1.1o3|2e2.1o2|2e2.2o2|2e3.1o1|2e4.1o1|2e5.1o3|2e5.2o3|2e5.3o3	True	True	True	8	6	1;1;1;1;1;1;1;1	chr17	+	4951182-4951721;4948347-4951828;4948373-4951828;4949293-4951828;4950630-4951828;4951182-4951828;4951214-4951828;4951224-4951828	4948092-4948373;4949177-4949293;4950190-4950630;4951080-4951224;4951721-4951914		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A4951914-4948092
SLC25A22	ENSG00000177542.11	ENSG00000177542.11:t:794987-795193	0.22007438033086602;-1.822215139499136e-05;-0.0007771814874401158;0.0018437701124297788;-1.822215139499136e-05;-1.822215139499136e-05;-1.822215139499136e-05;-0.162543592283055;-1.822215139499136e-05;-1.822215139499136e-05;-1.822215139499136e-05;-1.822215139499136e-05;0.0018437701124297788;-0.04196344586957752;-1.822215139499136e-05;-1.822215139499136e-05	0.5614527914123933;9.121401394331572e-08;1.6904115755395496e-05;3.5805631606004285e-06;9.121401394331572e-08;9.121401394331572e-08;9.121401394331572e-08;0.378222349197769;9.121401394331572e-08;9.121401394331572e-08;9.121401394331572e-08;9.121401394331572e-08;3.5805631606004285e-06;0.012329210543831464;9.121401394331572e-08;9.121401394331572e-08	0.00014680810304837063;0.011084442588239374;0.005952566415279081;0.0073806092001632816;0.011084442588239374;0.011084442588239374;0.011084442588239374;0.00020511904952946747;0.011084442588239374;0.011084442588239374;0.011084442588239374;0.011084442588239374;0.0073806092001632816;0.0006956379212643693;0.011084442588239374;0.011084442588239374	0.306;0.002;0.027;0.002;0.002;0.002;0.002;0.518;0.002;0.002;0.002;0.002;0.002;0.131;0.002;0.002	0.603;0.001;0.024;0.024;0.001;0.001;0.001;0.267;0.001;0.001;0.001;0.001;0.024;0.046;0.001;0.001	t|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o4|1e4.2o4|1e4.3o4|1e4.4o4|1e5.1o1|1e6.1o1|1e7.1o1|1e8.1o1|2e9.1o1|2e10.4o4|2e11.1o1|2e12.1o1	True	True	True	16	13	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	chr11	-	795169-798217;795169-797892;795169-797612;795169-796204;795169-796114;795169-796108;795169-796087;795169-796043;795169-795513;795169-795409;795169-795340;795169-795264;795164-798217;795164-796043;795164-795513;795164-795340	794987-795193;795264-795286;795340-795394;795409-795470;795513-795705;796043-796203;796204-796367;797612-797998;798217-798281		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A798281-794987
MKKS	ENSG00000125863.20	ENSG00000125863.20:t:10408628-10408803	-0.18955450963227435;0.219712645793628;-0.01286087585431557	0.41786066823113777;0.5792574054916527;0.000470825353755437	5.084082649320365e-06;7.206486744102333e-06;0.0012974846838945675	0.242;0.678;0.080	0.018;0.932;0.051	t|1e1.1o1|1e2.1o1|i	False	False	True	3	3	0;1;0	chr20	-	10408803-10420528;10408803-10412530;10408804-10412529	10408628-10408803;10412530-10412700;10420528-10420758	10408804-10412529	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A10420758-10408628
HBBP1	ENSG00000229988.2	ENSG00000229988.2:s:5243450-5243537	0.22263103178021654;-0.22263102660035589	0.6401619057138835;0.6401617846179904	1.3567004990963262e-05;1.3567698159078212e-05	0.053;0.947	0.291;0.709	s|1e1.1o1|2e1.1o1	True	False	False	2	2	0;1	chr11	-	5243328-5243481;5243328-5243450	5243099-5243328;5243450-5243537		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A5243537-5243099
MED21	ENSG00000152944.9	ENSG00000152944.9:t:27032144-27032230	0.005182382873803098;-0.5849122410253511;0.570546271705763	0.0026410259769354344;0.9953166348210734;0.9993011849665302	0.0009118996897530263;6.578416255731412e-06;4.690970162608111e-06	0.083;0.897;0.021	0.086;0.318;0.596	t|1e1.1o2|1e2.2o2|i	False	False	True	3	3	0;0;0	chr12	+	27030272-27032144;27030819-27032144;27030820-27032143	27030158-27030673;27030734-27030819;27032144-27032230	27030820-27032143	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A27032230-27030158
TCIRG1	ENSG00000110719.10	ENSG00000110719.10:t:68041268-68041388	-0.2186795218071989;0.21867950339171868	0.5524367659176459;0.552436783719087	0.0001398603845748081;0.000139853073543078	0.454;0.546	0.158;0.842	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr11	+	68039119-68041268;68039962-68041268	68039025-68039119;68039792-68039962;68041268-68041388		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A68041388-68039025
DNAJC13	ENSG00000138246.17	ENSG00000138246.17:s:132496528-132496663	-0.254864439984522;0.254864427900888	0.7102212753149882;0.7102214065963153	3.5702593324971055e-05;3.570069216459387e-05	0.328;0.672	0.034;0.966	s|1e1.1o2|1e1.2o2	False	True	False	2	2	0;1	chr3	+	132496663-132499114;132496663-132499126	132496528-132496663;132499114-132499310		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A132499310-132496528
VIM-AS1	ENSG00000229124.7	ENSG00000229124.7:t:17216167-17216290	0.10263212139655725;-0.007285212165840229;0.2038283129121981;-0.3206243219284354	0.07904169349881147;0.0039550768460529535;0.5362636220123226;0.810885896967093	6.693965300995017e-05;0.0006553015644811255;7.675971207105837e-06;1.227508855305981e-05	0.039;0.164;0.039;0.758	0.182;0.138;0.278;0.400	t|1e1.1o1|1e2.1o1|1e3.1o1|i	False	False	True	4	4	1;0;1;0	chr10	-	17216274-17229345;17216274-17226856;17216274-17217602;17216291-17217601	17216167-17216290;17217602-17217675;17226856-17226898;17229345-17229985	17216291-17217601	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A17229985-17216167
KTN1	ENSG00000126777.18	ENSG00000126777.18:t:55611977-55612571	-0.000129649257078724;0.21023363745255497;-0.20427550740833123;-0.000129649257078724	1.2321629550672996e-07;0.5523016461681213;0.5289448973746835;1.2321629550672996e-07	0.014211017185981167;9.890916583451712e-05;0.00010774994221918188;0.014211017185981167	0.006;0.164;0.825;0.006	0.004;0.424;0.569;0.004	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	False	False	True	4	5	1;1;1;1	chr14	+	55559150-55612019;55580354-55612019;55601880-55612019;55607460-55612019	55559072-55559150;55580207-55580354;55601757-55601880;55607346-55607460;55611977-55612571		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A55612571-55559072
SLC40A1	ENSG00000138449.11	ENSG00000138449.11:t:189580418-189580786	0.20906105494415111;-0.00531558520340737;-0.17459609208475915;-8.355619563195116e-05	0.5636274912536345;8.500394036165611e-06;0.36882758892814826;1.0083970156378298e-08	8.891970975711818e-06;0.006463682889608857;6.437210939891358e-05;0.02318331659760209	0.023;0.041;0.932;0.005	0.254;0.014;0.729;0.003	t|1e1.1o1|1e2.1o2|1e2.2o2|2e3.1o1	True	True	True	4	4	1;1;1;1	chr2	-	189580562-189583334;189580562-189581902;189580562-189581708;189580524-189583334	189580418-189580786;189581708-189582031;189583334-189583420		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A189583420-189580418
